date,name,value,rank,lastValue
2020-01-03,Jamiroquai,13,1,0
2020-01-03,Jimi Hendrix,0,47,0
2020-01-03,Jimmy Ponder,0,48,0
2020-01-03,John Mayer,0,49,0
2020-01-03,KT Tunstall,0,50,0
2020-01-03,Kenshi Yonezu,0,51,0
2020-01-03,Khruangbin,0,52,0
2020-01-03,Kristen Bell,0,53,0
2020-01-03,Novos Baianos,0,29,0
2020-01-03,OKAMOTO'S,0,30,0
2020-01-03,Oscar Peterson,1,4,1
2020-01-03,Phoenix,0,28,0
2020-01-03,Pomplamoose,0,14,0
2020-01-03,Public Enemy,0,13,0
2020-01-03,Rage Against the Machine,0,11,0
2020-01-03,Red Hot Chili Peppers,1,3,1
2020-01-03,Rina Sawayama,0,8,0
2020-01-03,Romes,0,10,0
2020-01-03,Saint Motel,0,12,0
2020-01-03,Sakanaction,0,15,0
2020-01-03,Self,0,9,0
2020-01-03,Stella Jang,0,18,0
2020-01-03,Taichi Mukai,0,19,0
2020-01-03,Tame Impala,0,20,0
2020-01-03,The Dave Brubeck Quartet,0,17,0
2020-01-03,The Fearless Flyers,0,21,0
2020-01-03,The Knocks,4,2,4
2020-01-03,The Kooks,0,22,0
2020-01-03,The Shins,1,6,0
2020-01-03,The Strokes,0,23,0
2020-01-03,UNISON SQUARE GARDEN,0,24,0
2020-01-03,Vulfpeck,1,7,0
2020-01-03,Wednesday Campanella,0,25,0
2020-01-03,Yuki Hayashi,0,26,0
2020-01-03,フレデリック,0,27,0
2020-01-03,久石譲,0,54,0
2020-01-04,Anderson .Paak,0,16,0
2020-01-04,Antônio Carlos Jobim,0,43,0
2020-01-04,Arctic Monkeys,0,32,0
2020-01-04,Babu Santana,0,33,0
2020-01-04,Baco Exu do Blues,0,34,0
2020-01-04,Castlebeat,0,35,0
2020-01-04,Chico Buarque,0,36,0
2020-01-04,Chihiro Yamanaka,0,37,0
2020-01-04,Christian McBride,0,38,0
2020-01-04,Cory Wong,1,5,1
2020-01-04,Daft Punk,0,39,0
2020-01-04,Emicida,0,40,0
2020-01-04,Fitz and the Tantrums,0,41,0
2020-01-04,Foster the People,66,0,66
2020-01-04,Gen Hoshino,0,31,0
2020-01-04,Guru Woof Música Relaxante Para Crianças,0,42,0
2020-01-04,Hermeto Pascoal,0,44,0
2020-01-04,Hiromi,0,45,0
2020-01-04,J Rabbit,0,46,0
2020-01-04,Jamiroquai,13,1,13
2020-01-04,Jimi Hendrix,0,47,0
2020-01-04,Jimmy Ponder,0,48,0
2020-01-04,John Mayer,0,49,0
2020-01-04,KT Tunstall,0,50,0
2020-01-04,Kenshi Yonezu,0,51,0
2020-01-04,Khruangbin,0,52,0
2020-01-04,Kristen Bell,0,53,0
2020-01-04,Novos Baianos,0,29,0
2020-01-04,OKAMOTO'S,0,30,0
2020-01-04,Oscar Peterson,1,4,1
2020-01-04,Phoenix,0,28,0
2020-01-04,Pomplamoose,0,14,0
2020-01-04,Public Enemy,0,13,0
2020-01-04,Rage Against the Machine,0,11,0
2020-01-04,Red Hot Chili Peppers,1,3,1
2020-01-04,Rina Sawayama,0,8,0
2020-01-04,Romes,0,10,0
2020-01-04,Saint Motel,0,12,0
2020-01-04,Sakanaction,0,15,0
2020-01-04,Self,0,9,0
2020-01-04,Stella Jang,0,18,0
2020-01-04,Taichi Mukai,0,19,0
2020-01-04,Tame Impala,0,20,0
2020-01-04,The Dave Brubeck Quartet,0,17,0
2020-01-04,The Fearless Flyers,0,21,0
2020-01-04,The Knocks,4,2,4
2020-01-04,The Kooks,0,22,0
2020-01-04,The Shins,1,6,1
2020-01-04,The Strokes,0,23,0
2020-01-04,UNISON SQUARE GARDEN,0,24,0
2020-01-04,Vulfpeck,1,7,1
2020-01-04,Wednesday Campanella,0,25,0
2020-01-04,Yuki Hayashi,0,26,0
