,7/2012,8/2012,9/2012,10/2012,11/2012,12/2012,1/2013,2/2013,3/2013,4/2013,5/2013,6/2013,7/2013,8/2013,9/2013,10/2013,11/2013,12/2013,1/2014,2/2014,3/2014,4/2014,5/2014,6/2014,7/2014,8/2014,9/2014,10/2014,11/2014,12/2014,1/2015,2/2015,3/2015,4/2015,5/2015,6/2015,7/2015,8/2015,9/2015,10/2015,11/2015,12/2015,1/2016,2/2016,3/2016,4/2016,5/2016,6/2016,7/2016,8/2016,9/2016,10/2016,11/2016,12/2016,1/2017,2/2017,3/2017,4/2017,5/2017,6/2017,7/2017,8/2017,9/2017,10/2017,11/2017,12/2017,1/2018,2/2018,3/2018,4/2018,5/2018,6/2018,7/2018,8/2018,9/2018,10/2018,11/2018,12/2018,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019,12/2019,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,artist
12,0,2,2,2,39,42,43,43,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,127,138,261,263,295,295,295,299,299,299,299,299,308,308,308,308,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,311,311,311,311,311,311,311,311,313,315,320,322,332,337,340,342,343,346,347,349,352,355,356,357,358,358,360,363,363,363,365,366,367,368,368,368,押尾コータロー
13,0,11,11,11,42,42,42,42,47,47,47,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,天門
14,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,KinKi Kids
15,0,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Kirby
16,0,9,9,30,49,115,144,144,153,153,153,153,153,154,170,170,170,170,170,170,170,170,170,170,170,170,170,170,248,248,299,332,332,374,374,374,374,374,374,374,374,374,374,374,374,374,377,377,377,378,390,390,390,398,400,404,404,404,404,404,404,404,404,404,415,415,416,416,429,497,503,511,518,541,556,575,589,592,604,609,613,621,631,637,642,660,667,671,679,680,680,681,691,698,706,709,709,Chico Buarque
17,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,AAA
18,0,8,21,32,32,32,32,32,42,42,42,49,49,49,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,74,79,79,79,79,79,79,79,79,79,79,85,85,85,85,85,85,103,103,103,103,105,105,105,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,Hiromi Uehara
19,0,1,12,15,64,84,84,84,93,93,93,93,120,138,166,171,171,171,171,171,193,193,193,316,316,316,316,316,337,346,351,351,351,351,351,351,351,352,356,356,356,356,357,357,357,357,357,360,360,377,378,380,380,381,383,383,383,383,383,383,417,421,438,611,651,652,653,664,684,714,736,752,766,796,823,853,876,884,905,916,929,943,955,1016,1026,1036,1048,1060,1126,1131,1174,1187,1203,1216,1225,1229,1235,Red Hot Chili Peppers
20,0,2,3,4,4,6,6,6,6,6,6,6,6,7,15,17,17,23,23,23,23,23,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,The Boom
21,0,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,モーニング娘。
22,0,2,4,15,23,23,23,23,23,23,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,69,69,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,73,75,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,78,79,81,81,82,82,83,83,83,83,83,Akiko
